IdAcademico,IdAlumno,IdSocial,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
1,1,1,2010-1,7,22,12,10,12,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
2,1,1,2010-2,7,21,9,12,8,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
3,1,1,2010-C,3,11,11,0,15,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
4,1,1,2011-1,5,15,3,12,6,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
5,1,1,2011-2,5,15,0,15,2,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
6,1,1,2011-3,4,12,0,12,0,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
7,1,1,2012-1,4,12,0,12,0,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
8,1,1,2012-2,5,15,0,15,2,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
9,1,1,2013-1,5,15,0,15,3,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
10,1,1,2013-2,5,15,3,12,11,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
11,1,1,2013-3,4,15,0,15,4,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
12,1,1,2014-1,4,15,3,12,5,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
13,1,1,2014-2,3,12,0,12,0,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
14,1,1,2015-1,3,12,0,12,0,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
15,2,2,2010-1,7,22,0,22,0,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
16,2,2,2012-2,7,22,18,4,15,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
17,2,2,2013-1,6,21,21,0,15,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
18,2,2,2013-2,6,18,11,7,13,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
19,2,2,2013-3,6,20,16,4,15,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
20,2,2,2014-1,6,22,18,4,14,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
21,2,2,2014-2,5,19,12,7,14,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
22,2,2,2015-1,5,19,11,8,13,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
23,2,2,2015-2,5,16,9,7,13,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
24,3,3,2010-1,6,21,21,0,15,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
25,3,3,2010-2,6,21,14,7,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
